区域,名称,景点id,类型,级别,热度,地址,特色,经度,纬度,票价,月销量,图片
河北·廊坊·三河市,华堂国际高尔夫球场,944348122,运动健身,无级别,热度 0.7,河北省廊坊三河市燕郊镇,京城具有挑战性的高尔夫球场之一,116.777605,39.973366,无票价,无销量,http://img1.qunarzz.com/sight/p0/1502/3a/3ad550da7fa08d28.water.jpg_280x200_02b70334.jpg
河北·秦皇岛·海港区,紫云山滑雪场,2373837857,运动健身,无级别,热度 0.7,河北省秦皇岛市海港区北港镇陈庄村,风光秀丽，雪道专业，项目丰富，滑雪胜地,119.607302,40.029414,免费 ,无销量,http://img1.qunarzz.com/sight/p0/201311/11/4bd3e51dc4c0d5c8c8d65eac.jpg_280x200_e92362a1.jpg
黑龙江·哈尔滨·松北区,月亮湾滑雪场,745523178,运动健身,无级别,热度 0.7,黑龙江省哈尔滨市松北区月亮湾开发区,冰雪娱乐新天地，为冬季生活带来无穷乐趣,126.594436,45.793787,免费 ,无销量,http://img1.qunarzz.com/sight/p0/201312/02/fca7081a05346f39a16b41cdfdf25721.jpg_280x200_c0360564.jpg
黑龙江·哈尔滨·五常市,回龙山滑雪场,3872622874,运动健身,无级别,热度 0.7,黑龙江省哈尔滨五常市背荫河镇左行8公里,交通便利，景色宜人，休闲滑雪的绝佳去处,127.15293176789,45.15252163,免费 ,无销量,http://img1.qunarzz.com/sight/p0/201311/28/12c3a2b6a702592dd950ab42e0558c47.jpg_280x200_6c3124d0.jpg
湖北·武汉·蔡甸区,武汉体育中心,3754574046,运动健身,无级别,热度 0.7,湖北武汉蔡甸区经济技术开发区,武汉体育中心球场是城市出资一亿两千万美元，专为2007年中国FIFA女足世界杯而建设的。2003年1月27日在四国女足邀,114.17748953439,30.50477504,免费 ,无销量,http://img1.qunarzz.com/sight/p0/201312/05/3af2f57e45969bf3f66359ab5eb31c0f.jpg_280x200_103f20ca.jpg
江西·宜春·奉新县,江西省国际体育健身运动中心,701378217,运动健身,无级别,热度 0.7,江西省宜春市奉新县会埠镇建新农场内,江西省国际体育健身运动中心，位于江西南方环保机制总公司生产科研基地奉新县境内越山脚下，距省会南昌市80公里，占地面积10,115.203224,28.732357,无票价,无销量,http://img1.qunarzz.com/sight/p0/1409/25/6a12378b01453969adce6d67d71d083a.jpg_280x200_a1f59bc4.jpg
内蒙古·乌兰察布·凉城县,岱海滑雪场,793148880,运动健身,无级别,热度 0.7,内蒙古乌兰察布市凉城县,自然条件优越，冬季休闲娱乐的绝佳去处,112.84336,40.590621,无票价,无销量,http://img1.qunarzz.com/sight/p0/201311/26/e5d68bfe855d3f5063098a3e2a368ca1.jpg_280x200_f7fd65ca.jpg
宁夏·银川·金凤区,翠柳岛滑雪场,1459957218,运动健身,无级别,热度 0.7,宁夏回族自治区银川金凤区,这里不但适合老人小孩。想想，只需骑上自行车或者步行就可以到达的中山公园，银装素裹的雪山就坐落在我们再熟悉不过的地方，而那,106.21083776798,38.48341302,无票价,无销量,http://img1.qunarzz.com/sight/p0/201311/26/56494146c9eb2999cfe72a460446cf2a.jpg_280x200_635c4e10.jpg
山西·太原·万柏林区,晋祠龙山滑雪场,4008726685,运动健身,无级别,热度 0.7,山西省太原市万柏林区旧晋祠路3段609号,娱雪项目丰富多样，滑雪爱好者的天堂,112.45299833066,37.73470207,无票价,无销量,http://img1.qunarzz.com/sight/p0/201311/28/9cd6a9441c552f14e5bb9fa249735057.jpg_280x200_2c397716.jpg
山西·忻州·忻府区,顿村滑雪场,3590955026,运动健身,无级别,热度 0.7,山西省忻州市忻府区顿村顿奇公路,雪场比邻多处旅游名胜，滑雪时可饱览胜景,112.71008306439,38.50149033,无票价,无销量,http://img1.qunarzz.com/sight/p0/201403/06/1ddfeb2d492c52f78f5f165559f39ea6.jpg_280x200_cf7b0a03.jpg
陕西·西安·户县,西安亚建高尔夫球场,711597104,运动健身,无级别,热度 0.7,陕西省西安市户县,西安亚建国际高尔夫俱乐部是西安金花企业集团投资兴建的，以高尔夫球场为主体、以休闲娱乐中心和别墅山庄为配套的西北地区首家一,108.74823551625,34.00479077,无票价,无销量,http://img1.qunarzz.com/sight/p0/201303/07/bbcddac8b6cfead3c8d65eac.jpg_280x200_9a63ef77.jpg
陕西·西安·长安区,沣峪庄园滑雪场,193443379,运动健身,无级别,热度 0.7,陕西省西安市长安区喂子坪青岗树村,风景秀丽的高山滑雪场,108.851109,33.897696,无票价,无销量,http://img1.qunarzz.com/sight/p0/201311/08/eec1b062ebd0ca72c8d65eac.jpg_280x200_58dc31a4.jpg
黑龙江·哈尔滨·南岗区,欧亚之窗公园,2684671609,运动健身,3A景区,热度 0.7,黑龙江省哈尔滨市南岗区学府路四道街18号,以欧亚经典建筑的微缩景观为主的景观公园,126.609048,45.706405,无票价,无销量,http://img1.qunarzz.com/sight/p0/1409/17/b6ae5963f82480f943892e8709735b67.jpg_280x200_e2a6a21f.jpg
新疆·伊犁·伊宁市,伊宁市城市海景,4198882855,运动健身,3A景区,热度 0.7,新疆维吾尔自治区伊犁哈萨克自治州伊宁市环城西路城,理想的水上休闲活动场所,81.285096446974,43.90721952,免费 ,无销量,http://img1.qunarzz.com/sight/p0/1709/67/67f5094ba891f5eaa3.water.jpg_280x200_ff283fdc.jpg
