区域,名称,景点id,类型,级别,热度,地址,特色,经度,纬度,票价,月销量,图片
云南·昆明·宜良县,九乡风景名胜区,2825510206,自然风光,4A景区,热度 0.72,云南省昆明市宜良县九乡风景名胜区,九乡溶洞九十九，数完溶洞白了头,103.390531,25.073926,¥60 起,980,http://img1.qunarzz.com/sight/p0/201405/22/9fe3286bde7dd013112e133f09f71967.jpg_280x200_b601fef8.jpg
山西·晋中·祁县,乔家大院,1203837703,古建筑,无级别,热度 0.92,山西省晋中市祁县乔家堡村,一栋带有历史印记的宅院,112.44405,37.41108,¥115 起,976,http://img1.qunarzz.com/sight/p0/1507/94/6ca52bb1e782ae6c3c891c7aa1dd2594.water.jpg_280x200_db597cce.jpg
山西·晋中·祁县,乔家大院,1203837703,文化古迹,无级别,热度 0.92,山西省晋中市祁县乔家堡村,一栋带有历史印记的宅院,112.44405,37.41108,¥115 起,976,http://img1.qunarzz.com/sight/p0/1507/94/6ca52bb1e782ae6c3c891c7aa1dd2594.water.jpg_280x200_db597cce.jpg
山西·忻州·五台山,殊像寺,422229251,古建筑,无级别,热度 0.0,山西省忻州市五台县五台山风景区,青庙十大寺之一,113.59944,39.009202,¥19 起,976,http://img1.qunarzz.com/sight/p0/201403/07/27cc9af877e7a09afe42c3093f7596ae.jpg_280x200_11a35923.jpg
山西·忻州·五台山,殊像寺,422229251,文化古迹,无级别,热度 0.0,山西省忻州市五台县五台山风景区,青庙十大寺之一,113.59944,39.009202,¥19 起,976,http://img1.qunarzz.com/sight/p0/201403/07/27cc9af877e7a09afe42c3093f7596ae.jpg_280x200_11a35923.jpg
江苏·南京·玄武区,南京博物院,2501306334,展馆,4A景区,热度 0.7,江苏省南京市玄武区中山东路321号,"六朝古都多少事,尽在博物馆藏中",118.83165,32.046772,¥1.8 起,970,http://img1.qunarzz.com/sight/p0/201305/21/f64992484b1fb774c8d65eac.jpg_280x200_d7fcc707.jpg
重庆·重庆·渝中区,朝天门,2016792752,文化古迹,无级别,热度 0.0,重庆市渝中区渝中半岛嘉陵江与长江交汇处,重庆十大文化符号”之一,108.645189,31.029858,¥80 起,968,http://img1.qunarzz.com/sight/p0/1705/5c/5c00cf8542ccd71ca3.water.jpg_280x200_94fa7fee.jpg
湖北·武汉·汉阳区,武汉花博汇,847110073,农家度假,无级别,热度 0.0,武汉市蔡甸区大集街道知音湖大道天星村1号,一所老屋，一段故事，一种悠哉的慢生活,114.085172,30.494344,¥53.4 起,964,http://img1.qunarzz.com/sight/p0/1805/af/af648beb7239c330a3.img.png_280x200_4450e981.png
湖北·武汉·汉阳区,武汉花博汇,847110073,展馆,无级别,热度 0.0,武汉市蔡甸区大集街道知音湖大道天星村1号,一所老屋，一段故事，一种悠哉的慢生活,114.085172,30.494344,¥53.4 起,964,http://img1.qunarzz.com/sight/p0/1805/af/af648beb7239c330a3.img.png_280x200_4450e981.png
北京·北京·海淀区,玉渊潭公园,3200679843,公园,4A景区,热度 0.72,北京市海淀区西三环中路10号,花期未到，美照先行,116.32638,39.922645,¥12 起,958,http://img1.qunarzz.com/sight/p0/2005/fd/fd003d552d45286a3.water.jpg_280x200_1e7f5d5b.jpg
陕西·西安·莲湖区,西安鼓楼,1981518486,古建筑,无级别,热度 1.0,陕西西安市西大街北院门南口,钟为文鼓为武，文武盛地钟鼓楼,108.949903,34.266395,¥30 起,954,http://img1.qunarzz.com/sight/p0/201405/26/b878ef635edee77bba73f39c4f7de8d6.jpg_280x200_ce9f1fec.jpg
陕西·西安·莲湖区,西安鼓楼,1981518486,文化古迹,无级别,热度 1.0,陕西西安市西大街北院门南口,钟为文鼓为武，文武盛地钟鼓楼,108.949903,34.266395,¥30 起,954,http://img1.qunarzz.com/sight/p0/201405/26/b878ef635edee77bba73f39c4f7de8d6.jpg_280x200_ce9f1fec.jpg
湖北·宜昌·夷陵区,三峡人家,2187219280,自然风光,5A景区,热度 0.78,宜昌市夷陵区峡州路5号,三峡风光，巴风楚韵,111.170932,30.805222,¥198 起,950,http://img1.qunarzz.com/sight/p0/1503/44/4488b2e954c900f7.water.jpg_280x200_cc9811fa.jpg
甘肃·酒泉·敦煌市,敦煌莫高窟,2267073005,文化古迹,无级别,热度 0.9,甘肃省酒泉市敦煌市东南25公里,世界文化遗产，人类艺术的殿堂,94.77389,40.167452,¥265 起,946,http://img1.qunarzz.com/sight/p0/1812/59/5913ce49441d3b8ea3.img.jpg_280x200_3160ccff.jpg
吉林·长春·南关区,长影世纪城,873408284,公园,5A景区,热度 0.86,吉林省长春市净月开发区长双公路,北方冬天玩出狂拽酷炫,125.453307,43.779397,¥120 起,944,http://img1.qunarzz.com/sight/p0/1507/f0/45ad118808cbfbdd1ca292f6939bdda5.water.jpg_280x200_d364d6a5.jpg
上海·上海·佘山国家旅游度假区,辰山植物园,2566817830,自然风光,无级别,热度 0.0,上海市松江区辰花公路3888号,上海网红野餐地 | “莫奈花园”四季皆美,121.188507,31.080816,¥59.5 起,944,http://img1.qunarzz.com/sight/p0/2005/4f/4fa68e517ab1a4aba3.water.jpg_280x200_6722cf02.jpg
浙江·杭州·千岛湖,千岛湖中心湖,1810494749,自然风光,无级别,热度 0.0,浙江省杭州市淳安县千岛湖景区内,乘船登岛，领略千岛湖的山水锦绣,119.020995,29.600519,¥185 起,944,http://img1.qunarzz.com/sight/p0/1807/26/269e0ea49ac0c512a3.img.jpg_280x200_5baa531b.jpg
陕西·西安·碑林区,西安钟楼,4231428640,古建筑,无级别,热度 0.7,陕西省西安市碑林区东、南、西、北四条大街交汇处,古朴大气的建筑风格，夜景尤其美,108.95344,34.265657,¥30 起,938,http://img1.qunarzz.com/sight/p0/1411/2e/b8665668190ee6e68c593d9e1757768e.water.jpg_280x200_35b08feb.jpg
陕西·西安·碑林区,西安钟楼,4231428640,文化古迹,无级别,热度 0.7,陕西省西安市碑林区东、南、西、北四条大街交汇处,古朴大气的建筑风格，夜景尤其美,108.95344,34.265657,¥30 起,938,http://img1.qunarzz.com/sight/p0/1411/2e/b8665668190ee6e68c593d9e1757768e.water.jpg_280x200_35b08feb.jpg
山东·青岛·市北区,青岛啤酒博物馆,3355370292,展馆,4A景区,热度 0.72,山东省青岛市市北区登州路56号青岛啤酒厂内,寻访青岛啤酒发源地,120.35324,36.085299,¥57.9 起,932,http://img1.qunarzz.com/sight/p0/1603/c8/c8795fe9072bdfa990.img.jpg_280x200_1e3b65d8.jpg
四川·甘孜州·泸定县,海螺沟,3058294493,山川,5A景区,热度 0.9,四川省甘孜藏族自治州泸定县木西镇共和村,云海仙境，让我迷失在你的神秘里,102.090512,29.637949,¥160 起,924,http://img1.qunarzz.com/sight/p0/1911/c3/c3c50c7fb7141e38a3.water.jpg_280x200_3f40cebd.jpg
四川·甘孜州·泸定县,海螺沟,3058294493,自然风光,5A景区,热度 0.9,四川省甘孜藏族自治州泸定县木西镇共和村,云海仙境，让我迷失在你的神秘里,102.090512,29.637949,¥160 起,924,http://img1.qunarzz.com/sight/p0/1911/c3/c3c50c7fb7141e38a3.water.jpg_280x200_3f40cebd.jpg
贵州·贵阳·花溪区,青岩古镇,1308678621,城市观光,5A景区,热度 0.82,贵阳市花溪区交通路240号,由土城而渐成街巷纵横错综之石城,106.695326,26.339051,¥10 起,924,http://img1.qunarzz.com/sight/p0/1504/a0/a09b01c34b43b6ed.water.jpg_280x200_e43f885b.jpg
贵州·贵阳·花溪区,青岩古镇,1308678621,古建筑,5A景区,热度 0.82,贵阳市花溪区交通路240号,由土城而渐成街巷纵横错综之石城,106.695326,26.339051,¥10 起,924,http://img1.qunarzz.com/sight/p0/1504/a0/a09b01c34b43b6ed.water.jpg_280x200_e43f885b.jpg
贵州·贵阳·花溪区,青岩古镇,1308678621,文化古迹,5A景区,热度 0.82,贵阳市花溪区交通路240号,由土城而渐成街巷纵横错综之石城,106.695326,26.339051,¥10 起,924,http://img1.qunarzz.com/sight/p0/1504/a0/a09b01c34b43b6ed.water.jpg_280x200_e43f885b.jpg
海南·三亚·崖州区,大小洞天,3748366838,文化古迹,5A景区,热度 0.78,海南省三亚市以西四十公里（崖城镇南山村）,具备山、海、天一色的道家文化景区,109.186963,18.307148,¥62 起,900,http://img1.qunarzz.com/sight/p0/1604/38/38bd0f1d0108ce4390.img.png_280x200_1e43ef63.png
湖南·张家界·天门山国家森林公园,玻璃栈道,1449540171,城市观光,无级别,热度 0.0,湖南省张家界市永定区官黎坪天门山国家森林公园内,与美国大峡谷玻璃走廊“天空之路”媲美,110.485082,29.052581,¥267 起,892,http://img1.qunarzz.com/sight/p0/1507/6a/4cd2d68394fa47d868035affba8e9695.water.jpg_280x200_edc97d54.jpg
山西·忻州·五台山,菩萨顶,388942628,文化古迹,无级别,热度 0.0,山西省忻州市五台县五台山风景区,菩萨顶位于山西省五台山的灵鹫峰上，金碧辉煌，绚丽多彩，具有皇宫特色，也是国务院确定的汉族地区佛教全国重点寺院。,113.601213,39.019046,¥45 起,886,http://img1.qunarzz.com/sight/p0/201403/07/44bb7887001fec40d456a1e9b58230c6.jpg_280x200_c4988cb3.jpg
江苏·连云港·连云区,花果山,4093770257,山川,5A景区,热度 1.0,江苏省连云港市新浦区郁林路5号,大圣故里，神话仙境,119.278096,34.648745,¥85 起,880,http://img1.qunarzz.com/sight/p0/1707/a9/a99419b3cde05250a3.water.jpg_280x200_3ccdc83c.jpg
江苏·连云港·连云区,花果山,4093770257,自然风光,5A景区,热度 1.0,江苏省连云港市新浦区郁林路5号,大圣故里，神话仙境,119.278096,34.648745,¥85 起,880,http://img1.qunarzz.com/sight/p0/1707/a9/a99419b3cde05250a3.water.jpg_280x200_3ccdc83c.jpg
云南·昆明,青鱼湾水上乐园,3599382011,公园,无级别,热度 0.0,云南省昆明市海口镇小海口收费站右转2公里处,感受云南大型水上乐园的乐趣,102.54549,24.851305,¥106 起,880,http://img1.qunarzz.com/sight/p0/1606/a7/a71c66e94b9d7f2fe2.img.jpg_280x200_f8ea5aef.jpg
云南·昆明,青鱼湾水上乐园,3599382011,游乐场,无级别,热度 0.0,云南省昆明市海口镇小海口收费站右转2公里处,感受云南大型水上乐园的乐趣,102.54549,24.851305,¥106 起,880,http://img1.qunarzz.com/sight/p0/1606/a7/a71c66e94b9d7f2fe2.img.jpg_280x200_f8ea5aef.jpg
海南·保亭黎族苗族自治县,呀诺达热带雨林,2782137950,自然风光,5A景区,热度 0.0,海南省保亭黎族苗族自治县三道农场呀诺达雨林文化旅游区,地处北纬18度的热带雨林,109.673664,18.456698,¥138 起,880,http://img1.qunarzz.com/sight/p0/2104/e8/e8951209aa6fd4b7a3.img.jpg_280x200_f3b40a1e.jpg
贵州·黔南·荔波樟江,大七孔景区,1892349513,山川,无级别,热度 0.7,贵州省黔南州荔波县大七孔景区,欣赏“东方的凯旋门”，领略白裤瑶族文化,107.760251,25.287526,¥50 起,878,http://img1.qunarzz.com/sight/p0/1505/5d/5d585d21e6fa8a06.water.jpg_280x200_396cebde.jpg
贵州·黔南·荔波樟江,大七孔景区,1892349513,自然风光,无级别,热度 0.7,贵州省黔南州荔波县大七孔景区,欣赏“东方的凯旋门”，领略白裤瑶族文化,107.760251,25.287526,¥50 起,878,http://img1.qunarzz.com/sight/p0/1505/5d/5d585d21e6fa8a06.water.jpg_280x200_396cebde.jpg
四川·雅安·雨城区,碧峰峡,3243157188,自然风光,5A景区,热度 0.9,四川省雅安市雨城区下里乡碧峰镇,听浪漫传说，呼吸大自然新鲜空气,102.997037,30.078428,¥94 起,876,http://img1.qunarzz.com/sight/p0/1505/e9/e9b65c2a4cb2d2cb.water.jpg_280x200_d7991e55.jpg
广西·桂林·灵川县,漓江,3678713220,自然风光,5A景区,热度 1.0,广西壮族自治区桂林市阳朔县,分明看见青山顶，船在青山顶上行,110.438282,25.153169,¥73.9 起,874,http://img1.qunarzz.com/sight/p57/201211/08/c42f2e7088a8a11093835fbb.jpg_280x200_360b16d1.jpg
浙江·宁波·鄞州区,罗蒙环球乐园,3525030360,游乐场,无级别,热度 0.0,浙江省宁波市鄞州区鄞州大道中段1099号/萧皋东路820号罗蒙环球城,各个年龄段都能找到适合自己的娱乐项目,121.549884,29.803631,¥245 起,872,http://img1.qunarzz.com/sight/p0/1504/93/93f1260f44dbbe38.water.jpg_280x200_dd6dac56.jpg
江西·南昌·东湖区,滕王阁,2301240201,古建筑,5A景区,热度 1.0,江西省南昌市东湖区仿古街58号,落霞与孤鹜齐飞，秋水共长天一色,115.888564,28.686101,¥45 起,870,http://img1.qunarzz.com/sight/p0/1609/94/945ab5b76758703a3.water.jpg_280x200_7147ca75.jpg
江西·南昌·东湖区,滕王阁,2301240201,文化古迹,5A景区,热度 1.0,江西省南昌市东湖区仿古街58号,落霞与孤鹜齐飞，秋水共长天一色,115.888564,28.686101,¥45 起,870,http://img1.qunarzz.com/sight/p0/1609/94/945ab5b76758703a3.water.jpg_280x200_7147ca75.jpg
湖北·武汉·武汉东湖风景区,湖北省博物馆,4151317006,展馆,4A景区,热度 0.74,湖北省武汉市武昌区东湖路156号,地方博物馆，文物众多，具有地方特色,114.371479,30.568385,¥10 起,870,http://img1.qunarzz.com/wugc/p28/201207/26/e6b7f40b6d6d781f93835fbb.jpg_280x200_49f6c6d2.jpg
北京·北京·密云县,司马台长城,2335961053,古建筑,4A景区,热度 0.76,北京市密云县东北部的古北口镇境内,城墙依险峻山势而筑，以奇、特、险著称于世,117.284641,40.660322,¥40 起,858,http://img1.qunarzz.com/sight/p0/1603/69/696406b990ae8cee90.water.jpg_280x200_fc84ecdd.jpg
北京·北京·密云县,司马台长城,2335961053,文化古迹,4A景区,热度 0.76,北京市密云县东北部的古北口镇境内,城墙依险峻山势而筑，以奇、特、险著称于世,117.284641,40.660322,¥40 起,858,http://img1.qunarzz.com/sight/p0/1603/69/696406b990ae8cee90.water.jpg_280x200_fc84ecdd.jpg
河南·郑州·中牟县,郑州方特欢乐世界,351387058,游乐场,4A景区,热度 0.0,河南省郑州市中牟县郑开大道与人文路交汇口以南,高科技主题乐园，方特成就欢乐梦想,113.935591,34.766816,¥276.5 起,858,http://img1.qunarzz.com/sight/p0/1804/7f/7f80af3ddefeb12a3.img.jpg_280x200_1e69f1ee.jpg
辽宁·丹东·凤城市,丹东凤凰山,2571497460,山川,4A景区,热度 0.72,辽宁省丹东市凤城市郊东南3公里处,平辽王神弓射箭眼，一箭定辽东之地,124.078062,40.403008,¥69 起,856,http://img1.qunarzz.com/sight/p0/2101/56/5685cdaebd6c4c9ba3.water.jpg_280x200_a842d676.jpg
辽宁·丹东·凤城市,丹东凤凰山,2571497460,自然风光,4A景区,热度 0.72,辽宁省丹东市凤城市郊东南3公里处,平辽王神弓射箭眼，一箭定辽东之地,124.078062,40.403008,¥69 起,856,http://img1.qunarzz.com/sight/p0/2101/56/5685cdaebd6c4c9ba3.water.jpg_280x200_a842d676.jpg
浙江·杭州,灵隐寺,1064944660,文化古迹,5A景区,热度 0.0,浙江省杭州市法云弄1号,江南禅宗“五山”之一,120.106626,30.241491,¥126 起,842,http://img1.qunarzz.com/sight/p0/1812/5a/5a4129c70246ac2da3.img.jpg_280x200_335affab.jpg
江苏·无锡·宜兴市,宜兴竹海,3940008855,自然风光,4A景区,热度 0.74,江苏省无锡宜兴市湖滏镇竹海村,太湖的源头之一，有“华东竹海”之称,119.714376,31.177184,¥71 起,828,http://img1.qunarzz.com/sight/p0/1504/b4/b40f1cb571976eca.water.jpg_280x200_c49ea07d.jpg
福建·厦门·厦门方特旅游区,厦门方特梦幻王国,531760907,游乐场,4A景区,热度 0.0,福建省厦门市同安区石浔南路1111号,科幻和互动体验，充满幻想和创意的神奇天地,118.183984,24.686373,¥268 起,818,http://img1.qunarzz.com/sight/p0/2008/5c/5c5d83e3b7fe5adfa3.water.jpg_280x200_267a71e3.jpg
河南·郑州·金水区,河南博物院,2123399594,展馆,无级别,热度 0.88,河南省郑州市金水区农业路8号,我国建立较早的博物院之一,113.678741,34.792982,¥20 起,816,http://img1.qunarzz.com/sight/p0/1607/94/944fbbb444c64f32b4.water.jpg_280x200_bebe3fbe.jpg
四川·眉山·洪雅县,瓦屋山,2793794878,山川,3A景区,热度 1.0,四川省眉山市洪雅县瓦屋山镇,世界自然遗产，全国大型国家森林公园,102.998884,29.684073,¥128 起,808,http://img1.qunarzz.com/sight/p0/201403/07/2d53f434a7437617d515e06c4078041f.jpg_280x200_dd575e69.jpg
四川·眉山·洪雅县,瓦屋山,2793794878,文化古迹,3A景区,热度 1.0,四川省眉山市洪雅县瓦屋山镇,世界自然遗产，全国大型国家森林公园,102.998884,29.684073,¥128 起,808,http://img1.qunarzz.com/sight/p0/201403/07/2d53f434a7437617d515e06c4078041f.jpg_280x200_dd575e69.jpg
四川·眉山·洪雅县,瓦屋山,2793794878,自然风光,3A景区,热度 1.0,四川省眉山市洪雅县瓦屋山镇,世界自然遗产，全国大型国家森林公园,102.998884,29.684073,¥128 起,808,http://img1.qunarzz.com/sight/p0/201403/07/2d53f434a7437617d515e06c4078041f.jpg_280x200_dd575e69.jpg
青海·海西蒙古族藏族自治州·乌兰县,茶卡盐湖,3879564186,自然风光,4A景区,热度 0.84,青海省海西州鸟兰县茶卡镇盐湖路,"天然结晶盐，晶大质纯,盐味醇香",99.155005,36.666619,¥0.5 起,806,http://img1.qunarzz.com/sight/p0/1709/d5/d58fc3a5742e4923a3.img.jpg_280x200_bfa3df88.jpg
北京·北京·奥林匹克公园,水立方,899803366,城市观光,无级别,热度 0.0,北京市朝阳区天辰东路11号奥林匹克公园内,中国的荣耀，阳光下的晶莹水滴,116.396015,39.999061,¥168 起,806,http://img1.qunarzz.com/sight/p0/1501/40/40b2b6c951b28fdd.water.jpg_280x200_104f11c4.jpg
北京·北京·奥林匹克公园,水立方,899803366,运动健身,无级别,热度 0.0,北京市朝阳区天辰东路11号奥林匹克公园内,中国的荣耀，阳光下的晶莹水滴,116.396015,39.999061,¥168 起,806,http://img1.qunarzz.com/sight/p0/1501/40/40b2b6c951b28fdd.water.jpg_280x200_104f11c4.jpg
江苏·南京·秦淮区,大报恩寺遗址公园,528078619,文化古迹,无级别,热度 0.0,江苏省南京市秦淮区雨花路正学路1号,长干里是江南佛教圣地素有“佛陀里”之美,118.787634,32.015811,¥83 起,806,http://img1.qunarzz.com/sight/p0/1512/95/9579bcb3e5a206cc90.water.jpg_280x200_cf2e064a.jpg
云南·大理·大理古城,崇圣寺三塔,3067239679,古建筑,5A景区,热度 0.86,云南省大理市大理古城西北两公里的苍山应乐峰下,大理的标志和象征，来大理不可错过的地方哦,100.149535,25.710163,¥61 起,802,http://img1.qunarzz.com/sight/p0/1507/d7/d78af54137a77864.img.jpg_280x200_8ad963f3.jpg
云南·大理·大理古城,崇圣寺三塔,3067239679,文化古迹,5A景区,热度 0.86,云南省大理市大理古城西北两公里的苍山应乐峰下,大理的标志和象征，来大理不可错过的地方哦,100.149535,25.710163,¥61 起,802,http://img1.qunarzz.com/sight/p0/1507/d7/d78af54137a77864.img.jpg_280x200_8ad963f3.jpg
江苏·镇江·京口区,焦山,745979697,山川,5A景区,热度 0.92,江苏省镇江市东吴路焦山公园,京口三山之一，被誉为书法之山,119.491862,32.243623,¥55.4 起,800,http://img1.qunarzz.com/sight/p0/1505/8b/8b5e8c94e0687bc3.water.jpg_280x200_61638f44.jpg
江苏·镇江·京口区,焦山,745979697,自然风光,5A景区,热度 0.92,江苏省镇江市东吴路焦山公园,京口三山之一，被誉为书法之山,119.491862,32.243623,¥55.4 起,800,http://img1.qunarzz.com/sight/p0/1505/8b/8b5e8c94e0687bc3.water.jpg_280x200_61638f44.jpg
广西·贺州·昭平县,黄姚古镇,3457869885,文化古迹,4A景区,热度 1.0,广西壮族自治区贺州市昭平县,诗境家园，电影《面纱》拍摄地,111.209664,24.254288,¥75 起,798,http://img1.qunarzz.com/sight/p0/1411/a4/94f21d5f7a3d19473a517457d960d31d.water.jpg_280x200_9ab94cf7.jpg
浙江·嘉兴·嘉善县,西塘古镇,3942761498,古建筑,5A景区,热度 0.84,浙江省嘉兴市嘉善县西塘镇,水墨西塘让你感受古镇千年的诗情画意,120.89521,30.945875,¥95 起,794,http://img1.qunarzz.com/sight/p0/1607/21/2142167d4b1bfa84b4.water.jpg_280x200_32c6f5cb.jpg
浙江·嘉兴·嘉善县,西塘古镇,3942761498,文化古迹,5A景区,热度 0.84,浙江省嘉兴市嘉善县西塘镇,水墨西塘让你感受古镇千年的诗情画意,120.89521,30.945875,¥95 起,794,http://img1.qunarzz.com/sight/p0/1607/21/2142167d4b1bfa84b4.water.jpg_280x200_32c6f5cb.jpg
山东·德州·齐河县,泉城欧乐堡梦幻世界,3730466774,游乐场,4A景区,热度 0.0,山东省德州市齐河县黄河国际生态城旅游路07号,畅游梦幻世界，感受欧洲风情,116.851086,36.749665,¥198.9 起,794,http://img1.qunarzz.com/sight/p0/1603/e4/e4c8ac4d958f312690.img.jpg_280x200_169c50c7.jpg
青海·海南藏族自治州·共和县,青海湖,3039817885,自然风光,5A景区,热度 0.0,青海省海南藏族自治州共和县,内陆湖泊和咸水湖,100.50728,36.591727,¥89 起,792,http://img1.qunarzz.com/sight/p0/1506/a5/86d690c56dacccafa530e230d593023a.water.jpg_280x200_60bdca1c.jpg
江苏·南京·秦淮区,夫子庙,2778205010,古建筑,5A景区,热度 0.88,江苏省南京市秦淮区龙蟠中路夫子庙,一条长江路，半部民国史,118.795398,32.026977,¥0.6 起,788,http://img1.qunarzz.com/sight/p0/1701/b8/b806750f5c23b867a3.img.png_280x200_2825ca87.png
江苏·南京·秦淮区,夫子庙,2778205010,文化古迹,5A景区,热度 0.88,江苏省南京市秦淮区龙蟠中路夫子庙,一条长江路，半部民国史,118.795398,32.026977,¥0.6 起,788,http://img1.qunarzz.com/sight/p0/1701/b8/b806750f5c23b867a3.img.png_280x200_2825ca87.png
江苏·南京·秦淮区,夫子庙,2778205010,自然风光,5A景区,热度 0.88,江苏省南京市秦淮区龙蟠中路夫子庙,一条长江路，半部民国史,118.795398,32.026977,¥0.6 起,788,http://img1.qunarzz.com/sight/p0/1701/b8/b806750f5c23b867a3.img.png_280x200_2825ca87.png
浙江·嘉兴·乌镇,乌镇东栅,1847125241,文化古迹,无级别,热度 0.0,浙江省嘉兴桐乡市乌镇子夜路18号,有水乡美景，品文化底蕴,120.503219,30.747083,¥110 起,782,http://img1.qunarzz.com/sight/p0/201403/10/4a983a211f547ba170a96a2612ca25de.jpg_280x200_7e38b61f.jpg
陕西·西安·新城区,大明宫国家遗址公园,2972581121,文化古迹,4A景区,热度 0.72,陕西省西安市新城区自强东路585号大明宫国家遗址公园丹凤门,唐代长安城禁苑,108.968257,34.309657,¥30 起,778,http://img1.qunarzz.com/sight/p0/1412/84/f696c67a8052bb60e6fc51b0f9ba7388.water.jpg_280x200_fe9002cb.jpg
山西·大同·南郊区,大同方特欢乐世界,3319947443,游乐场,4A景区,热度 0.0,山西省大同市平城区南环路南侧3666号,神奇的梦幻乐园，给您震撼的玩乐体验,113.376424,40.068704,¥280 起,774,http://img1.qunarzz.com/sight/p0/1905/f7/f7a4042302185dd0a3.img.jpg_280x200_635ea626.jpg
江西·上饶·铅山县,葛仙山,763375083,山川,4A景区,热度 0.7,江西省上饶市铅山县杨林乡,葛仙山历史悠久，蜚声遐迩,117.7123,28.064453,¥90 起,770,http://img1.qunarzz.com/sight/p0/1804/d5/d57ce8b96e5dd474a3.water.jpg_280x200_a03cf0a1.jpg
江西·上饶·铅山县,葛仙山,763375083,自然风光,4A景区,热度 0.7,江西省上饶市铅山县杨林乡,葛仙山历史悠久，蜚声遐迩,117.7123,28.064453,¥90 起,770,http://img1.qunarzz.com/sight/p0/1804/d5/d57ce8b96e5dd474a3.water.jpg_280x200_a03cf0a1.jpg
广西·桂林·秀峰区,桂林两江四湖景区,858225756,文化古迹,5A景区,热度 0.7,广西壮族自治区桂林市秀峰区滨江路12号,重现唐宋时尚的环游桂林线路，轻悠旅程时光,110.298547,25.257801,¥90 起,768,http://img1.qunarzz.com/sight/p0/1809/2f/2fdd8fb4dae74701a3.water.jpg_280x200_cd2623bd.jpg
广西·桂林·秀峰区,桂林两江四湖景区,858225756,自然风光,5A景区,热度 0.7,广西壮族自治区桂林市秀峰区滨江路12号,重现唐宋时尚的环游桂林线路，轻悠旅程时光,110.298547,25.257801,¥90 起,768,http://img1.qunarzz.com/sight/p0/1809/2f/2fdd8fb4dae74701a3.water.jpg_280x200_cd2623bd.jpg
安徽·芜湖·鸠江区,芜湖方特东方神画,1487103532,游乐场,无级别,热度 0.0,安徽省芜湖市鸠江区赤铸山东路（芜湖方特二期附近）,非物质文化博览园,118.464405,31.365991,¥265 起,768,http://img1.qunarzz.com/sight/p0/1705/eb/eb128df3c858ab92a3.img.jpg_280x200_97a07b5f.jpg
山西·忻州·五台山,塔院寺,613547204,文化古迹,无级别,热度 0.76,山西省忻州市五台县五台山风景区,五台山的标志，毛泽东等在方丈院内住过,113.602522,39.013439,¥19 起,762,http://img1.qunarzz.com/sight/p54/201211/09/d408c03abd632e9693835fbb.jpg_280x200_6a191ecb.jpg
北京·北京·丰台区,世界公园,1504293946,公园,4A景区,热度 0.7,北京市丰台区花乡丰葆路158号,40个国家的109处著名古迹名胜微缩景点,116.2937,39.816749,¥69.9 起,762,http://img1.qunarzz.com/sight/p0/2104/6f/6f3e6a7c7121f40ca3.img.jpg_280x200_33c6649f.jpg
重庆·重庆·渝中区,重庆解放碑,3257521035,城市观光,无级别,热度 0.82,重庆市渝中区民权路、民族路和邹容路交汇处,解放碑是重庆的标志建筑物之一，位于重庆市渝中区民权路、民族路和邹容路交汇处。这座塔楼式的碑体见证着抗战胜利和重庆解放的沧,106.583254,29.563903,¥15 起,758,http://img1.qunarzz.com/sight/p0/1411/d6/54b2e2165f7c9074e44286e64cb04f83.water.jpg_280x200_a96b8d82.jpg
四川·成都·武侯区,成都武侯祠,2721389637,古建筑,4A景区,热度 0.9,四川省成都市武侯区武侯祠大街231号,体验三国蜀文化，享受最丰盛的文化晚餐,104.054421,30.652343,¥6 起,756,http://img1.qunarzz.com/sight/p0/1409/15/fa993263e4dfe285dd21cbcf1c47400a.jpg_280x200_03b2296d.jpg
四川·成都·武侯区,成都武侯祠,2721389637,文化古迹,4A景区,热度 0.9,四川省成都市武侯区武侯祠大街231号,体验三国蜀文化，享受最丰盛的文化晚餐,104.054421,30.652343,¥6 起,756,http://img1.qunarzz.com/sight/p0/1409/15/fa993263e4dfe285dd21cbcf1c47400a.jpg_280x200_03b2296d.jpg
四川·成都·武侯区,成都武侯祠,2721389637,展馆,4A景区,热度 0.9,四川省成都市武侯区武侯祠大街231号,体验三国蜀文化，享受最丰盛的文化晚餐,104.054421,30.652343,¥6 起,756,http://img1.qunarzz.com/sight/p0/1409/15/fa993263e4dfe285dd21cbcf1c47400a.jpg_280x200_03b2296d.jpg
山西·晋中·灵石县,王家大院,2084299625,古建筑,4A景区,热度 0.82,山西省晋中市灵石县静升镇静升村,汉族传统民俗文化建筑艺术的瑰宝,111.881551,36.902417,¥28 起,756,http://img1.qunarzz.com/sight/p0/1505/1c/1c21633345733b93.water.jpg_280x200_df5d91aa.jpg
山西·晋中·灵石县,王家大院,2084299625,文化古迹,4A景区,热度 0.82,山西省晋中市灵石县静升镇静升村,汉族传统民俗文化建筑艺术的瑰宝,111.881551,36.902417,¥28 起,756,http://img1.qunarzz.com/sight/p0/1505/1c/1c21633345733b93.water.jpg_280x200_df5d91aa.jpg
